Condition,BioReplicate,Run
T000,1,nselevse_L120412_001_SW
T000,2,nselevse_L120412_002_SW
T000,3,nselevse_L120412_003_SW
T015,1,nselevse_L120412_004_SW
T015,2,nselevse_L120412_005_SW
T015,3,nselevse_L120412_006_SW
T030,1,nselevse_L120412_007_SW
T030,2,nselevse_L120412_008_SW
T030,3,nselevse_L120412_009_SW
T060,1,nselevse_L120412_010_SW
T060,2,nselevse_L120412_011_SW
T060,3,nselevse_L120412_012_SW
T090,1,nselevse_L120412_013_SW
T090,2,nselevse_L120412_014_SW
T090,3,nselevse_L120412_015_SW
T120,1,nselevse_L120412_016_SW
T120,2,nselevse_L120412_017_SW
T120,3,nselevse_L120412_018_SW
