"Protein","AOV_p","LMM_AIC","LMM_p","ICC","Used_LM"
"O43137",NA,6.09423060377698,0.00162426923847255,NA,TRUE
"P00830",NA,NA,NA,NA,TRUE
"P06634",NA,-40.3207121965957,0.000108376052512451,NA,TRUE
"P07143",NA,NA,NA,NA,TRUE
"P07213",NA,-59.2605417723322,3.95827542363565e-07,NA,TRUE
"P07258",NA,64.5551291016345,0.00472594153245207,NA,TRUE
"P07260",NA,NA,NA,NA,TRUE
"P07284",NA,-46.5676115730203,2.87647301044058e-05,NA,TRUE
"P07285",NA,NA,NA,NA,TRUE
"P09436",NA,NA,NA,NA,TRUE
"P0CS90",NA,-41.3936534952064,0.000105606502811222,NA,TRUE
"P10356",NA,65.7262074866152,0.437025522565757,NA,TRUE
"P13663",NA,-38.2663985871697,0.000208603208981969,NA,TRUE
"P14832",NA,-26.7083752768092,0.016747087625958,NA,TRUE
"P15442",NA,76.3483342734873,0.182466207739128,NA,TRUE
"P15700",NA,NA,NA,NA,TRUE
"P16370",NA,-7.90926058171294,0.464995011193272,NA,TRUE
"P17106",NA,-40.1430967860273,0.00206642029279488,NA,TRUE
"P17423",NA,-39.7473461731128,3.79469247547839e-06,NA,TRUE
"P18963",NA,-34.1456659001505,0.000298771674217932,NA,TRUE
"P19073",NA,-29.0788713211856,0.0514586341773289,NA,TRUE
"P22579",NA,NA,NA,NA,TRUE
"P23292",NA,-30.2486399648921,0.0175011541583849,NA,TRUE
"P23503",NA,NA,NA,NA,TRUE
"P23594",NA,-26.3319125380453,0.280482807579689,NA,TRUE
"P25340",NA,NA,NA,NA,TRUE
"P25369",NA,NA,NA,NA,TRUE
"P25372",NA,NA,NA,NA,TRUE
"P25608",NA,NA,NA,NA,TRUE
"P25616",NA,NA,NA,NA,TRUE
"P27614",NA,-59.2515654736639,6.27475712600107e-05,NA,TRUE
"P27616",NA,-45.6394692545197,7.37368706584248e-06,NA,TRUE
"P28707",NA,-28.8169113127204,0.000527823359486733,NA,TRUE
"P29366",NA,11.6519657742744,0.106133863203364,NA,TRUE
"P32327",NA,-36.4673279148345,0.00887274916931219,NA,TRUE
"P32335",NA,-24.4773181431016,0.0833395653844206,NA,TRUE
"P32337",NA,-27.1408562657688,0.00310377303868715,NA,TRUE
"P32366",NA,-30.9200626719614,0.000576463884473431,NA,TRUE
"P32386",NA,NA,NA,NA,TRUE
